epsilon,log_epsilon,N_base,N_dense,delta_percent
0.5,0.6931471805599453,5.0,5.0,0.0
0.25,1.3862943611198906,13.0,13.0,0.0
0.125,2.0794415416798357,37.0,37.0,0.0
0.0625,2.772588722239781,112.0,112.0,0.0
0.03125,3.4657359027997265,342.0,347.0,1.440922190201729
0.015625,4.1588830833596715,1032.0,1065.0,3.0985915492957745
0.0078125,4.852030263919617,2985.0,3097.0,3.6164029706167256
0.00390625,5.545177444479562,8719.0,9194.0,5.166412877963889
0.001953125,6.238324625039508,27709.0,29010.0,4.484660461909686
0.0009765625,6.931471805599453,95769.0,98556.0,2.827833921831243
